,Song,Artist,Query
885,crush,david archuleta,crush david archuleta lyrics
886,suffocate - superclean,j. holiday,suffocate - superclean j. holiday lyrics
887,in love with a girl,gavin degraw,in love with a girl gavin degraw lyrics
888,tattoo,jordin sparks,tattoo jordin sparks lyrics
889,violet hill,coldplay,violet hill coldplay lyrics
890,sexy can i feat. yung berg,ray j,sexy can i feat. yung berg ray j lyrics
891,spotlight,jennifer hudson,spotlight jennifer hudson lyrics
892,green light (feat. andré 3000),john legend,green light (feat. andré 3000) john legend lyrics
893,burnin' up,jonas brothers,burnin' up jonas brothers lyrics
894,superstar (feat. matthew santos),lupe fiasco,superstar (feat. matthew santos) lupe fiasco lyrics
895,forever,chris brown,forever chris brown lyrics
896,chasing pavements,adele,chasing pavements adele lyrics
897,better in time,leona lewis,better in time leona lewis lyrics
898,clumsy,fergie,clumsy fergie lyrics
899,can't believe it (feat. lil' wayne),t-pain,can't believe it (feat. lil' wayne) t-pain lyrics
900,i gotta feeling,black eyed peas,i gotta feeling black eyed peas lyrics
901,poker face,lady gaga,poker face lady gaga lyrics
902,halo,beyoncé,halo beyoncé lyrics
903,sexy bitch (feat. akon),david guetta,sexy bitch (feat. akon) david guetta lyrics
904,right round,flo rida,right round flo rida lyrics
905,love story,taylor swift,love story taylor swift lyrics
906,hotel room service,pitbull,hotel room service pitbull lyrics
907,circus,britney spears,circus britney spears lyrics
908,lovegame,lady gaga,lovegame lady gaga lyrics
909,monster,skillet,monster skillet lyrics
910,omen,the prodigy,omen the prodigy lyrics
911,meet me halfway,black eyed peas,meet me halfway black eyed peas lyrics
912,heartless,kanye west,heartless kanye west lyrics
913,day 'n' nite (nightmare),kid cudi,day 'n' nite (nightmare) kid cudi lyrics
914,just dance,lady gaga,just dance lady gaga lyrics
915,if u seek amy,britney spears,if u seek amy britney spears lyrics
916,i know you want me (calle ocho),pitbull,i know you want me (calle ocho) pitbull lyrics
917,obsessed,mariah carey,obsessed mariah carey lyrics
918,sweet dreams,beyoncé,sweet dreams beyoncé lyrics
919,release me,agnes,release me agnes lyrics
920,boom boom pow,black eyed peas,boom boom pow black eyed peas lyrics
921,she wolf,shakira,she wolf shakira lyrics
922,paparazzi,lady gaga,paparazzi lady gaga lyrics
923,empire state of mind,jay-z,empire state of mind jay-z lyrics
924,all the right moves,onerepublic,all the right moves onerepublic lyrics
925,birthday sex,jeremih,birthday sex jeremih lyrics
926,evacuate the dancefloor,cascada,evacuate the dancefloor cascada lyrics
927,new divide,linkin park,new divide linkin park lyrics
928,let it rock,kevin rudolf,let it rock kevin rudolf lyrics
929,run this town,jay-z,run this town jay-z lyrics
930,bad romance,lady gaga,bad romance lady gaga lyrics
931,live your life,t.i.,live your life t.i. lyrics
932,we made you,eminem,we made you eminem lyrics
933,bonkers,dizzee rascal,bonkers dizzee rascal lyrics
934,love sex magic (feat. justin timberlake),ciara,love sex magic (feat. justin timberlake) ciara lyrics
935,russian roulette,rihanna,russian roulette rihanna lyrics
936,turn my swag on,soulja boy,turn my swag on soulja boy lyrics
937,intro,the xx,intro the xx lyrics
938,down,jay sean,down jay sean lyrics
939,turnin me on - original dirty,keri hilson,turnin me on - original dirty keri hilson lyrics
940,when love takes over (feat. kelly rowland),david guetta,when love takes over (feat. kelly rowland) david guetta lyrics
941,fight for this love,cheryl,fight for this love cheryl lyrics
942,kiss me thru the phone,soulja boy,kiss me thru the phone soulja boy lyrics
943,crack a bottle,eminem,crack a bottle eminem lyrics
944,sober,p!nk,sober p!nk lyrics
945,number 1,tinchy stryder,number 1 tinchy stryder lyrics
946,"mama do (uh oh, uh oh)",pixie lott,"mama do (uh oh, uh oh) pixie lott lyrics"
947,beat again - radio edit,jls,beat again - radio edit jls lyrics
948,donttrustme,3oh!3,donttrustme 3oh!3 lyrics
949,jai ho! (you are my destiny),a.r. rahman,jai ho! (you are my destiny) a.r. rahman lyrics
950,i hate this part,the pussycat dolls,i hate this part the pussycat dolls lyrics
951,beautiful,akon,beautiful akon lyrics
952,bad boys (feat. flo rida),alexandra burke,bad boys (feat. flo rida) alexandra burke lyrics
953,break up,mario,break up mario lyrics
954,forever,drake,forever drake lyrics
955,naturally,selena gomez & the scene,naturally selena gomez & the scene lyrics
956,love lockdown,kanye west,love lockdown kanye west lyrics
957,untouched,the veronicas,untouched the veronicas lyrics
958,throw it in the bag,fabolous,throw it in the bag fabolous lyrics
959,whatcha say,jason derulo,whatcha say jason derulo lyrics
960,not fair,lily allen,not fair lily allen lyrics
961,dead and gone,t.i.,dead and gone t.i. lyrics
962,fire burning,sean kingston,fire burning sean kingston lyrics
963,walking on a dream,empire of the sun,walking on a dream empire of the sun lyrics
964,good girls go bad (feat. leighton meester),cobra starship,good girls go bad (feat. leighton meester) cobra starship lyrics
965,if today was your last day,nickelback,if today was your last day nickelback lyrics
966,bulletproof,la roux,bulletproof la roux lyrics
967,fire,kasabian,fire kasabian lyrics
968,i'm not alone - radio edit,calvin harris,i'm not alone - radio edit calvin harris lyrics
969,one time,justin bieber,one time justin bieber lyrics
970,blame it,jamie foxx,blame it jamie foxx lyrics
971,in for the kill,la roux,in for the kill la roux lyrics
972,uprising,muse,uprising muse lyrics
973,gotta be somebody,nickelback,gotta be somebody nickelback lyrics
974,broken strings,james morrison,broken strings james morrison lyrics
975,whatever you like,t.i.,whatever you like t.i. lyrics
976,holiday,dizzee rascal,holiday dizzee rascal lyrics
977,single ladies (put a ring on it),beyoncé,single ladies (put a ring on it) beyoncé lyrics
978,love drunk,boys like girls,love drunk boys like girls lyrics
979,rockin' that shit,the-dream,rockin' that shit the-dream lyrics
980,secrets,onerepublic,secrets onerepublic lyrics
981,everybody in love,jls,everybody in love jls lyrics
982,big green tractor,jason aldean,big green tractor jason aldean lyrics
983,never say never,the fray,never say never the fray lyrics
984,the fear,lily allen,the fear lily allen lyrics
985,sex on fire,kings of leon,sex on fire kings of leon lyrics
986,best i ever had,drake,best i ever had drake lyrics
987,already gone,kelly clarkson,already gone kelly clarkson lyrics
988,party in the u.s.a.,miley cyrus,party in the u.s.a. miley cyrus lyrics
989,battlefield,jordin sparks,battlefield jordin sparks lyrics
990,mad,ne-yo,mad ne-yo lyrics
991,21 guns,green day,21 guns green day lyrics
992,knock you down,keri hilson,knock you down keri hilson lyrics
993,you belong with me,taylor swift,you belong with me taylor swift lyrics
994,second chance,shinedown,second chance shinedown lyrics
995,i love college,asher roth,i love college asher roth lyrics
996,waking up in vegas,katy perry,waking up in vegas katy perry lyrics
997,my life would suck without you,kelly clarkson,my life would suck without you kelly clarkson lyrics
998,little lion man,mumford & sons,little lion man mumford & sons lyrics
999,you found me,the fray,you found me the fray lyrics
1000,just the way you are,bruno mars,just the way you are bruno mars lyrics
1001,love the way you lie,eminem,love the way you lie eminem lyrics
1002,bad romance,lady gaga,bad romance lady gaga lyrics
1003,alors on danse - radio edit,stromae,alors on danse - radio edit stromae lyrics
1004,tik tok,kesha,tik tok kesha lyrics
1005,memories (feat. kid cudi),david guetta,memories (feat. kid cudi) david guetta lyrics
1006,dynamite,taio cruz,dynamite taio cruz lyrics
1007,only girl (in the world),rihanna,only girl (in the world) rihanna lyrics
1008,california gurls,katy perry,california gurls katy perry lyrics
1009,take it off,kesha,take it off kesha lyrics
1010,hot - play & win radio version,inna,hot - play & win radio version inna lyrics
1011,like a g6,far east movement,like a g6 far east movement lyrics
1012,gettin' over you (feat. fergie & lmfao),david guetta,gettin' over you (feat. fergie & lmfao) david guetta lyrics
1013,barbra streisand - radio edit,duck sauce,barbra streisand - radio edit duck sauce lyrics
1014,danza kuduro (feat. don omar),lucenzo,danza kuduro (feat. don omar) lucenzo lyrics
1015,te amo,rihanna,te amo rihanna lyrics
1016,carry out (featuring justin timberlake),timbaland,carry out (featuring justin timberlake) timbaland lyrics
1017,gold dust - radio edit,dj fresh,gold dust - radio edit dj fresh lyrics
1018,stereo love - radio edit,edward maya,stereo love - radio edit edward maya lyrics
1019,break your heart,taio cruz,break your heart taio cruz lyrics
1020,imma be,black eyed peas,imma be black eyed peas lyrics
1021,riverside,sidney samson,riverside sidney samson lyrics
1022,not afraid,eminem,not afraid eminem lyrics
1023,alejandro,lady gaga,alejandro lady gaga lyrics
1024,rude boy,rihanna,rude boy rihanna lyrics
1025,beautiful monster,ne-yo,beautiful monster ne-yo lyrics
1026,starstrukk,3oh!3,starstrukk 3oh!3 lyrics
1027,the time (dirty bit),black eyed peas,the time (dirty bit) black eyed peas lyrics
1028,commander,kelly rowland,commander kelly rowland lyrics
1029,one (your name) - radio edit,swedish house mafia,one (your name) - radio edit swedish house mafia lyrics
1030,deuces (feat. tyga & kevin mccall),chris brown,deuces (feat. tyga & kevin mccall) chris brown lyrics
1031,dj got us fallin' in love (feat. pitbull),usher,dj got us fallin' in love (feat. pitbull) usher lyrics
1032,replay,iyaz,replay iyaz lyrics
1033,club can't handle me (feat. david guetta),flo rida,club can't handle me (feat. david guetta) flo rida lyrics
1034,eenie meenie,sean kingston,eenie meenie sean kingston lyrics
1035,no hands (feat. roscoe dash & wale),waka flocka flame,no hands (feat. roscoe dash & wale) waka flocka flame lyrics
1036,written in the stars (feat. eric turner),tinie tempah,written in the stars (feat. eric turner) tinie tempah lyrics
1037,talking to the moon,bruno mars,talking to the moon bruno mars lyrics
1038,can't be tamed,miley cyrus,can't be tamed miley cyrus lyrics
1039,cooler than me - single mix,mike posner,cooler than me - single mix mike posner lyrics
1040,telephone,lady gaga,telephone lady gaga lyrics
1041,we no speak americano (jt radio edit),yolanda be cool,we no speak americano (jt radio edit) yolanda be cool lyrics
1042,hard,rihanna,hard rihanna lyrics
1043,pass out,tinie tempah,pass out tinie tempah lyrics
1044,whataya want from me,adam lambert,whataya want from me adam lambert lyrics
1045,bottoms up (feat. nicki minaj),trey songz,bottoms up (feat. nicki minaj) trey songz lyrics
1046,if we ever meet again (featuring katy perry),timbaland,if we ever meet again (featuring katy perry) timbaland lyrics
1047,i like it,enrique iglesias,i like it enrique iglesias lyrics
1048,seek bromance - avicii’s vocal edit,tim berg,seek bromance - avicii’s vocal edit tim berg lyrics
1049,omg (feat. will.i.am),usher,omg (feat. will.i.am) usher lyrics
1050,misery,maroon 5,misery maroon 5 lyrics
1051,down,jay sean,down jay sean lyrics
1052,man down,rihanna,man down rihanna lyrics
1053,my first kiss (feat. ke$ha),3oh!3,my first kiss (feat. ke$ha) 3oh!3 lyrics
1054,baby,justin bieber,baby justin bieber lyrics
1055,teach me how to dougie,cali swag district,teach me how to dougie cali swag district lyrics
1056,miami 2 ibiza - swedish house mafia vs. tinie tempah,swedish house mafia,miami 2 ibiza - swedish house mafia vs. tinie tempah swedish house mafia lyrics
1057,wavin' flag,k'naan,wavin' flag k'naan lyrics
1058,how low,ludacris,how low ludacris lyrics
1059,blah blah blah (feat. 3oh!3),kesha,blah blah blah (feat. 3oh!3) kesha lyrics
1060,"all i do is win (feat. t-pain, ludacris, snoop dogg & rick ross)",dj khaled,"all i do is win (feat. t-pain, ludacris, snoop dogg & rick ross) dj khaled lyrics"
1061,in my head,jason derulo,in my head jason derulo lyrics
1062,i need a dollar,aloe blacc,i need a dollar aloe blacc lyrics
1063,airplanes (feat. hayley williams of paramore),b.o.b,airplanes (feat. hayley williams of paramore) b.o.b lyrics
1064,my chick bad,ludacris,my chick bad ludacris lyrics
1065,just a dream,nelly,just a dream nelly lyrics
1066,what's my name?,rihanna,what's my name? rihanna lyrics
1067,impossible,shontelle,impossible shontelle lyrics
1068,the flood,take that,the flood take that lyrics
1069,say aah (feat. fabolous),trey songz,say aah (feat. fabolous) trey songz lyrics
1070,whatcha say,jason derulo,whatcha say jason derulo lyrics
1071,over,drake,over drake lyrics
1072,kickstarts,example,kickstarts example lyrics
1073,she said,plan b,she said plan b lyrics
1074,higher,the saturdays,higher the saturdays lyrics
1075,do you remember,jay sean,do you remember jay sean lyrics
1076,hey daddy (daddy's home),usher,hey daddy (daddy's home) usher lyrics
1077,right above it,lil wayne,right above it lil wayne lyrics
1078,all time low,the wanted,all time low the wanted lyrics
1079,your love is my drug,kesha,your love is my drug kesha lyrics
1080,starry eyed,ellie goulding,starry eyed ellie goulding lyrics
1081,find your love,drake,find your love drake lyrics
1082,ridin' solo,jason derulo,ridin' solo jason derulo lyrics
1083,what you know,two door cinema club,what you know two door cinema club lyrics
1084,young forever,jay-z,young forever jay-z lyrics
1085,bedrock,young money,bedrock young money lyrics
1086,nothin' on you (feat. bruno mars),b.o.b,nothin' on you (feat. bruno mars) b.o.b lyrics
1087,teenage dream,katy perry,teenage dream katy perry lyrics
1088,this ain't a love song,scouting for girls,this ain't a love song scouting for girls lyrics
1089,billionaire (feat. bruno mars),travie mccoy,billionaire (feat. bruno mars) travie mccoy lyrics
1090,fireflies,owl city,fireflies owl city lyrics
1091,empire state of mind (part ii) broken down,alicia keys,empire state of mind (part ii) broken down alicia keys lyrics
1092,need you now,lady a,need you now lady a lyrics
1093,back to december,taylor swift,back to december taylor swift lyrics
1094,animal,neon trees,animal neon trees lyrics
1095,live like we're dying,kris allen,live like we're dying kris allen lyrics
1096,when we collide,matt cardle,when we collide matt cardle lyrics
1097,dancing on my own,robyn,dancing on my own robyn lyrics
1098,if i die young,the band perry,if i die young the band perry lyrics
1099,magic (feat. rivers cuomo),b.o.b,magic (feat. rivers cuomo) b.o.b lyrics
1100,rolling in the deep,adele,rolling in the deep adele lyrics
1101,"moves like jagger - studio recording from ""the voice"" performance",maroon 5,"moves like jagger - studio recording from ""the voice"" performance maroon 5 lyrics"
1102,party rock anthem,lmfao,party rock anthem lmfao lyrics
1103,firework,katy perry,firework katy perry lyrics
1104,grenade,bruno mars,grenade bruno mars lyrics
1105,hey baby (drop it to the floor) (feat. t-pain),pitbull,hey baby (drop it to the floor) (feat. t-pain) pitbull lyrics
1106,mr. saxobeat,alexandra stan,mr. saxobeat alexandra stan lyrics
1107,who's that chick? (feat. rihanna),david guetta,who's that chick? (feat. rihanna) david guetta lyrics
1108,on the floor,jennifer lopez,on the floor jennifer lopez lyrics
1109,s&m,rihanna,s&m rihanna lyrics
1110,blow,kesha,blow kesha lyrics
1111,sweat - remix,snoop dogg,sweat - remix snoop dogg lyrics
1112,higher,taio cruz,higher taio cruz lyrics
1113,more - redone jimmy joker remix,usher,more - redone jimmy joker remix usher lyrics
1114,changed the way you kiss me - radio edit,example,changed the way you kiss me - radio edit example lyrics
1115,just can’t get enough,black eyed peas,just can’t get enough black eyed peas lyrics
1116,where them girls at (feat. nicki minaj & flo rida),david guetta,where them girls at (feat. nicki minaj & flo rida) david guetta lyrics
1117,i follow rivers - the magician remix,lykke li,i follow rivers - the magician remix lykke li lyrics
1118,"give me everything (feat. ne-yo, afrojack & nayer)",pitbull,"give me everything (feat. ne-yo, afrojack & nayer) pitbull lyrics"
1119,love you like a love song,selena gomez & the scene,love you like a love song selena gomez & the scene lyrics
1120,black and yellow,wiz khalifa,black and yellow wiz khalifa lyrics
1121,e.t.,katy perry,e.t. katy perry lyrics
1122,i wanna go,britney spears,i wanna go britney spears lyrics
1123,stereo hearts (feat. adam levine),gym class heroes,stereo hearts (feat. adam levine) gym class heroes lyrics
1124,stereo love - radio edit,edward maya,stereo love - radio edit edward maya lyrics
1125,tonight (i'm fuckin' you),enrique iglesias,tonight (i'm fuckin' you) enrique iglesias lyrics
1126,down on me,jeremih,down on me jeremih lyrics
1127,loca people - radio edit,sak noel,loca people - radio edit sak noel lyrics
1128,heart skips a beat (feat. rizzle kicks),olly murs,heart skips a beat (feat. rizzle kicks) olly murs lyrics
1129,sexy and i know it,lmfao,sexy and i know it lmfao lyrics
1130,you make me feel... (feat. sabi),cobra starship,you make me feel... (feat. sabi) cobra starship lyrics
1131,do it like a dude,jessie j,do it like a dude jessie j lyrics
1132,louder (feat. sian evans) - radio edit,dj fresh,louder (feat. sian evans) - radio edit dj fresh lyrics
1133,no hands (feat. roscoe dash & wale),waka flocka flame,no hands (feat. roscoe dash & wale) waka flocka flame lyrics
1134,when we stand together,nickelback,when we stand together nickelback lyrics
1135,midnight city,m83,midnight city m83 lyrics
1136,till the world ends,britney spears,till the world ends britney spears lyrics
1137,earthquake (feat. tinie tempah),labrinth,earthquake (feat. tinie tempah) labrinth lyrics
1138,don't wanna go home,jason derulo,don't wanna go home jason derulo lyrics
1139,paradise,coldplay,paradise coldplay lyrics
1140,last friday night (t.g.i.f.),katy perry,last friday night (t.g.i.f.) katy perry lyrics
1141,set fire to the rain,adele,set fire to the rain adele lyrics
1142,i need a doctor,dr. dre,i need a doctor dr. dre lyrics
1143,6 foot 7 foot,lil wayne,6 foot 7 foot lil wayne lyrics
1144,i'm on one,dj khaled,i'm on one dj khaled lyrics
1145,look at me now (feat. lil' wayne & busta rhymes),chris brown,look at me now (feat. lil' wayne & busta rhymes) chris brown lyrics
1146,rocketeer,far east movement,rocketeer far east movement lyrics
1147,glad you came,the wanted,glad you came the wanted lyrics
1148,we r who we r,kesha,we r who we r kesha lyrics
1149,motivation,kelly rowland,motivation kelly rowland lyrics
1150,we found love,rihanna,we found love rihanna lyrics
1151,don't hold your breath,nicole scherzinger,don't hold your breath nicole scherzinger lyrics
1152,buzzin remix,mann,buzzin remix mann lyrics
1153,yeah 3x,chris brown,yeah 3x chris brown lyrics
1154,save the world,swedish house mafia,save the world swedish house mafia lyrics
1155,all of the lights,kanye west,all of the lights kanye west lyrics
1156,sure thing,miguel,sure thing miguel lyrics
1157,coming home,diddy - dirty money,coming home diddy - dirty money lyrics
1158,what's my name?,rihanna,what's my name? rihanna lyrics
1159,beautiful people,chris brown,beautiful people chris brown lyrics
1160,what the hell,avril lavigne,what the hell avril lavigne lyrics
1161,read all about it,professor green,read all about it professor green lyrics
1162,blind faith,chase & status,blind faith chase & status lyrics
1163,champion (feat. chris brown),chip,champion (feat. chris brown) chip lyrics
1164,who says,selena gomez & the scene,who says selena gomez & the scene lyrics
1165,down with the trumpets,rizzle kicks,down with the trumpets rizzle kicks lyrics
1166,born this way,lady gaga,born this way lady gaga lyrics
1167,super bass,nicki minaj,super bass nicki minaj lyrics
1168,donald trump,mac miller,donald trump mac miller lyrics
1169,bounce (feat. kelis) - radio edit,calvin harris,bounce (feat. kelis) - radio edit calvin harris lyrics
1170,without you (feat. usher),david guetta,without you (feat. usher) david guetta lyrics
1171,pumped up kicks,foster the people,pumped up kicks foster the people lyrics
1172,headlines,drake,headlines drake lyrics
1173,price tag,jessie j,price tag jessie j lyrics
1174,dirt road anthem,jason aldean,dirt road anthem jason aldean lyrics
1175,roll up,wiz khalifa,roll up wiz khalifa lyrics
1176,good life,onerepublic,good life onerepublic lyrics
1177,lighters,bad meets evil,lighters bad meets evil lyrics
1178,the lazy song,bruno mars,the lazy song bruno mars lyrics
1179,the show goes on,lupe fiasco,the show goes on lupe fiasco lyrics
1180,i won't let you go,james morrison,i won't let you go james morrison lyrics
1181,it girl,jason derulo,it girl jason derulo lyrics
1182,someone like you,adele,someone like you adele lyrics
1183,the adventures of rain dance maggie,red hot chili peppers,the adventures of rain dance maggie red hot chili peppers lyrics
1184,pretty girl rock,keri hilson,pretty girl rock keri hilson lyrics
1185,f**kin' perfect,p!nk,f**kin' perfect p!nk lyrics
1186,honey bee,blake shelton,honey bee blake shelton lyrics
1187,the edge of glory,lady gaga,the edge of glory lady gaga lyrics
1188,just a kiss,lady a,just a kiss lady a lyrics
1189,tonight tonight,hot chelle rae,tonight tonight hot chelle rae lyrics
1190,tongue tied,grouplove,tongue tied grouplove lyrics
1191,every teardrop is a waterfall,coldplay,every teardrop is a waterfall coldplay lyrics
1192,best thing i never had,beyoncé,best thing i never had beyoncé lyrics
1193,raise your glass,p!nk,raise your glass p!nk lyrics
1194,jar of hearts,christina perri,jar of hearts christina perri lyrics
1195,marry you,bruno mars,marry you bruno mars lyrics
1196,if i die young,the band perry,if i die young the band perry lyrics
1197,how to love,lil wayne,how to love lil wayne lyrics
1198,wherever you will go,charlene soraia,wherever you will go charlene soraia lyrics
1199,a thousand years,christina perri,a thousand years christina perri lyrics
1200,we found love,rihanna,we found love rihanna lyrics
1201,call me maybe,carly rae jepsen,call me maybe carly rae jepsen lyrics
1202,we are young (feat. janelle monáe),fun.,we are young (feat. janelle monáe) fun. lyrics
1203,she doesn't mind,sean paul,she doesn't mind sean paul lyrics
1204,international love (feat. chris brown),pitbull,international love (feat. chris brown) pitbull lyrics
1205,in the dark,dev,in the dark dev lyrics
1206,skyfall,adele,skyfall adele lyrics
1207,turn me on (feat. nicki minaj),david guetta,turn me on (feat. nicki minaj) david guetta lyrics
1208,where have you been,rihanna,where have you been rihanna lyrics
1209,ni**as in paris,jay-z,ni**as in paris jay-z lyrics
1210,one more night,maroon 5,one more night maroon 5 lyrics
1211,bangarang (feat. sirah),skrillex,bangarang (feat. sirah) skrillex lyrics
1212,chasing the sun,the wanted,chasing the sun the wanted lyrics
1213,whistle,flo rida,whistle flo rida lyrics
1214,this is love,will.i.am,this is love will.i.am lyrics
1215,she wolf (falling to pieces) [feat. sia],david guetta,she wolf (falling to pieces) [feat. sia] david guetta lyrics
1216,pound the alarm,nicki minaj,pound the alarm nicki minaj lyrics
1217,swimming pools (drank) - extended version,kendrick lamar,swimming pools (drank) - extended version kendrick lamar lyrics
1218,primadonna,marina,primadonna marina lyrics
1219,mercy,kanye west,mercy kanye west lyrics
1220,hot right now (feat. rita ora) - radio edit,dj fresh,hot right now (feat. rita ora) - radio edit dj fresh lyrics
1221,sexy and i know it,lmfao,sexy and i know it lmfao lyrics
1222,gangnam style (강남스타일),psy,gangnam style (강남스타일) psy lyrics
1223,die young,kesha,die young kesha lyrics
1224,scream,usher,scream usher lyrics
1225,troublemaker (feat. flo rida),olly murs,troublemaker (feat. flo rida) olly murs lyrics
1226,burn it down,linkin park,burn it down linkin park lyrics
1227,locked out of heaven,bruno mars,locked out of heaven bruno mars lyrics
1228,levels - radio edit,avicii,levels - radio edit avicii lyrics
1229,good feeling,flo rida,good feeling flo rida lyrics
1230,diamonds,rihanna,diamonds rihanna lyrics
1231,"work hard, play hard",wiz khalifa,"work hard, play hard wiz khalifa lyrics"
1232,part of me,katy perry,part of me katy perry lyrics
1233,starships,nicki minaj,starships nicki minaj lyrics
1234,m.a.a.d city,kendrick lamar,m.a.a.d city kendrick lamar lyrics
1235,one day / reckoning song (wankelmut remix) [radio edit],asaf avidan & the mojos,one day / reckoning song (wankelmut remix) [radio edit] asaf avidan & the mojos lyrics
1236,spectrum (say my name) - calvin harris remix,florence + the machine,spectrum (say my name) - calvin harris remix florence + the machine lyrics
1237,212,azealia banks,212 azealia banks lyrics
1238,payphone,maroon 5,payphone maroon 5 lyrics
1239,impossible,james arthur,impossible james arthur lyrics
1240,ai se eu te pego - live,michel teló,ai se eu te pego - live michel teló lyrics
1241,million voices - radio edit,otto knows,million voices - radio edit otto knows lyrics
1242,i love it,icona pop,i love it icona pop lyrics
1243,rack city,tyga,rack city tyga lyrics
1244,feel so close - radio edit,calvin harris,feel so close - radio edit calvin harris lyrics
1245,dance again,jennifer lopez,dance again jennifer lopez lyrics
1246,oblivion,grimes,oblivion grimes lyrics
1247,rumour has it,adele,rumour has it adele lyrics
1248,paradise,coldplay,paradise coldplay lyrics
1249,turn up the music,chris brown,turn up the music chris brown lyrics
1250,lost,frank ocean,lost frank ocean lyrics
1251,let's go (feat. ne-yo),calvin harris,let's go (feat. ne-yo) calvin harris lyrics
1252,hall of fame (feat. will.i.am),the script,hall of fame (feat. will.i.am) the script lyrics
1253,don't you worry child - radio edit,swedish house mafia,don't you worry child - radio edit swedish house mafia lyrics
1254,how to be a heartbreaker,marina,how to be a heartbreaker marina lyrics
1255,boyfriend,justin bieber,boyfriend justin bieber lyrics
1256,titanium (feat. sia),david guetta,titanium (feat. sia) david guetta lyrics
1257,domino,jessie j,domino jessie j lyrics
1258,i knew you were trouble.,taylor swift,i knew you were trouble. taylor swift lyrics
1259,hands on the wheel (feat. asap rocky),schoolboy q,hands on the wheel (feat. asap rocky) schoolboy q lyrics
1260,try,p!nk,try p!nk lyrics
1261,candy,robbie williams,candy robbie williams lyrics
1262,"young, wild & free (feat. bruno mars)",snoop dogg,"young, wild & free (feat. bruno mars) snoop dogg lyrics"
1263,as long as you love me,justin bieber,as long as you love me justin bieber lyrics
1264,r.i.p. (feat. tinie tempah),rita ora,r.i.p. (feat. tinie tempah) rita ora lyrics
1265,too close,alex clare,too close alex clare lyrics
1266,faded,tyga,faded tyga lyrics
1267,years - ラジオ・エディット,alesso,years - ラジオ・エディット alesso lyrics
1268,battle scars (feat. lupe fiasco),guy sebastian,battle scars (feat. lupe fiasco) guy sebastian lyrics
1269,the one that got away,katy perry,the one that got away katy perry lyrics
1270,silhouettes - original radio edit,avicii,silhouettes - original radio edit avicii lyrics
1271,somebody that i used to know,gotye,somebody that i used to know gotye lyrics
1272,wild ones (feat. sia),flo rida,wild ones (feat. sia) flo rida lyrics
1273,what makes you beautiful,one direction,what makes you beautiful one direction lyrics
1274,born to die,lana del rey,born to die lana del rey lyrics
1275,c'mon,kesha,c'mon kesha lyrics
1276,good time,owl city,good time owl city lyrics
1277,we'll be coming back (feat. example),calvin harris,we'll be coming back (feat. example) calvin harris lyrics
1278,"read all about it, pt. iii",emeli sandé,"read all about it, pt. iii emeli sandé lyrics"
1279,lights - single version,ellie goulding,lights - single version ellie goulding lyrics
1280,drive by,train,drive by train lyrics
1281,latch,disclosure,latch disclosure lyrics
1282,princess of china,coldplay,princess of china coldplay lyrics
1283,live while we're young,one direction,live while we're young one direction lyrics
1284,ass back home (feat. neon hitch),gym class heroes,ass back home (feat. neon hitch) gym class heroes lyrics
1285,blown away,carrie underwood,blown away carrie underwood lyrics
1286,breezeblocks,alt-j,breezeblocks alt-j lyrics
1287,don't wake me up,chris brown,don't wake me up chris brown lyrics
1288,stronger (what doesn't kill you),kelly clarkson,stronger (what doesn't kill you) kelly clarkson lyrics
1289,the motto,drake,the motto drake lyrics
1290,wide awake,katy perry,wide awake katy perry lyrics
1291,how we do (party),rita ora,how we do (party) rita ora lyrics
1292,feel the love (feat. john newman),rudimental,feel the love (feat. john newman) rudimental lyrics
1293,ride,lana del rey,ride lana del rey lyrics
1294,let me love you (until you learn to love yourself),ne-yo,let me love you (until you learn to love yourself) ne-yo lyrics
1295,give your heart a break,demi lovato,give your heart a break demi lovato lyrics
1296,take care,drake,take care drake lyrics
1297,wings,little mix,wings little mix lyrics
1298,it will rain,bruno mars,it will rain bruno mars lyrics
1299,want u back,cher lloyd,want u back cher lloyd lyrics
1300,royals,lorde,royals lorde lyrics
1301,blurred lines,robin thicke,blurred lines robin thicke lyrics
1302,radioactive,imagine dragons,radioactive imagine dragons lyrics
1303,wake me up,avicii,wake me up avicii lyrics
1304,locked out of heaven,bruno mars,locked out of heaven bruno mars lyrics
1305,thrift shop (feat. wanz),macklemore & ryan lewis,thrift shop (feat. wanz) macklemore & ryan lewis lyrics
1306,get lucky (feat. pharrell williams & nile rodgers) - radio edit,daft punk,get lucky (feat. pharrell williams & nile rodgers) - radio edit daft punk lyrics
1307,scream & shout,will.i.am,scream & shout will.i.am lyrics
1308,papaoutai,stromae,papaoutai stromae lyrics
1309,get up (rattle) - vocal edit,bingo players,get up (rattle) - vocal edit bingo players lyrics
1310,la la la,naughty boy,la la la naughty boy lyrics
1311,another love,tom odell,another love tom odell lyrics
1312,we own it (fast & furious),2 chainz,we own it (fast & furious) 2 chainz lyrics
1313,play hard (feat. ne-yo & akon),david guetta,play hard (feat. ne-yo & akon) david guetta lyrics
1314,feel this moment (feat. christina aguilera),pitbull,feel this moment (feat. christina aguilera) pitbull lyrics
1315,#thatpower,will.i.am,#thatpower will.i.am lyrics
1316,love me,lil wayne,love me lil wayne lyrics
